Rk,Season,Team,W,Completions,PassAttempts,PassYD,PassTD,Int,RushYD,RushTD,PointsAgainst,XPA,XPM,FGA,FGM,SafetiesByTeam
1,2023,WAS,4,407,636,3725,24,21,1592,14,518,35,32,24,19,0
2,2022,WAS,8,344,554,3472,24,16,2143,9,343,28,24,30,25,1
3,2021,WAS,7,356,550,3441,21,15,2061,13,434,29,25,33,28,0
4,2020,WAS,7,389,601,3465,16,16,1611,18,329,32,30,34,27,1
5,2019,WAS,3,298,479,2812,18,13,1583,9,435,22,21,30,25,0
6,2018,WAS,7,311,509,3021,16,15,1774,12,359,26,25,29,26,0
7,2017,WAS,7,347,540,3751,27,13,1448,10,388,39,36,28,24,0
8,2016,WAS,8,407,607,4758,25,12,1696,17,383,39,36,42,34,0
9,2015,WAS,9,386,555,4095,30,11,1566,9,379,41,40,30,26,1
10,2014,WAS,4,364,547,4047,18,18,1691,15,438,32,31,27,24,0
11,2013,WAS,3,355,611,3751,20,19,2164,14,478,33,33,26,21,0
12,2012,WAS,10,291,442,3422,24,8,2709,22,388,51,50,30,24,0
13,2011,WAS,5,346,591,3773,19,24,1614,8,367,26,25,41,31,0
14,2010,WAS,6,349,605,3913,21,19,1461,9,377,28,28,35,24,0
15,2009,WAS,4,340,533,3490,21,16,1510,8,336,28,26,25,22,0
16,2008,WAS,8,318,510,3025,14,6,2095,12,296,25,25,36,26,0
17,2007,WAS,9,319,525,3463,18,11,1871,15,310,30,29,35,29,2
18,2006,WAS,5,274,470,3027,19,10,2216,13,376,31,31,30,22,1
19,2005,WAS,10,278,481,3106,25,11,2183,15,293,42,42,21,17,0
20,2004,WAS,6,288,514,2632,18,17,1765,6,265,25,25,27,19,0
21,2003,WAS,5,283,527,3006,21,16,1653,8,372,27,26,33,25,1
22,2002,WAS,7,300,559,3254,24,20,1889,10,365,34,33,25,16,1
23,2001,WAS,8,235,432,2487,13,13,1948,10,303,22,22,33,26,1
24,2000,WAS,8,343,561,3648,18,21,1748,14,269,29,27,30,20,1
25,1999,WAS,10,324,537,3926,26,14,2039,23,377,50,49,32,22,0
26,1998,WAS,6,304,565,3325,24,14,1685,15,421,37,36,23,13,1
27,1997,WAS,8,283,547,3383,22,22,1615,12,289,39,39,24,16,0
28,1996,WAS,9,270,471,3319,12,11,1910,27,312,40,40,32,26,0
29,1995,WAS,6,265,521,3228,16,20,1956,15,359,33,33,36,27,1
30,1994,WAS,3,271,546,3378,25,27,1415,5,412,32,30,28,20,1
31,1993,WAS,4,287,533,2545,11,21,1728,11,345,26,24,28,16,1
32,1992,WAS,9,272,485,3163,15,17,1727,10,255,30,30,40,30,0
33,1991,WAS,14,261,447,3692,30,11,2049,21,224,56,56,43,31,0
34,1990,WAS,10,301,536,3479,22,22,2083,16,301,41,41,40,30,2
35,1989,WAS,10,337,581,4349,24,17,1904,14,308,41,41,40,29,3
36,1988,WAS,7,327,592,4136,33,25,1543,8,387,41,40,26,19,1
37,1987,WAS,11,247,478,3495,27,18,2102,18,285,46,43,29,18,0
38,1986,WAS,12,276,542,3869,22,22,1732,23,296,45,38,32,18,0
39,1985,WAS,10,280,512,2815,13,21,2523,20,312,33,31,35,22,1
40,1984,WAS,11,286,485,3076,24,13,2274,20,310,51,48,31,24,0
41,1983,WAS,14,278,463,3514,29,11,2625,30,332,63,62,47,33,1
42,1982,WAS,8,162,253,1845,13,9,1140,5,128,19,16,21,20,0
43,1981,WAS,8,307,525,3466,19,22,2157,19,349,42,38,30,19,0
44,1980,WAS,6,284,486,2838,17,18,2016,12,293,30,27,33,18,0
45,1979,WAS,10,235,401,2576,20,15,2328,17,295,39,39,33,25,0
46,1978,WAS,8,212,438,2565,17,21,2082,10,283,31,30,30,19,0
47,1977,WAS,9,183,383,1863,15,16,1752,4,189,19,19,37,21,0
48,1976,WAS,10,187,370,1985,20,20,2111,10,217,32,31,34,22,1
49,1975,WAS,8,229,448,2917,28,29,1752,9,276,39,37,25,16,0
50,1974,WAS,10,254,413,2802,22,11,1443,11,196,38,35,31,19,0
51,1973,WAS,10,209,372,2358,20,14,1439,9,198,37,37,42,22,0
