wins,total_yards,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,rush_att,rush_yds,rush_td,rush_yds_per_att
14,5039,320,537,3432,23,13,6,473,1607,9,3.4
10,4609,257,450,2792,17,19,5.8,487,1817,14,3.7
6,4348,293,502,2684,11,17,4.9,427,1664,13,3.9
6,4951,312,496,3316,20,14,6.3,409,1635,8,4
10,4929,217,415,2255,16,19,4.9,552,2674,18,4.8
8,5329,324,520,3342,26,15,6,481,1987,12,4.1
6,4792,306,532,3304,19,17,5.8,446,1488,10,3.3
5,4504,313,509,2834,17,18,5.2,412,1670,8,4.1
12,5874,381,569,4179,29,10,7.1,453,1695,16,3.7
12,5501,315,502,3878,30,9,7.4,486,1623,11,3.3
5,5358,303,515,3285,17,17,6,481,2073,13,4.3
5,4306,248,439,2655,14,18,5.6,421,1651,14,3.9
13,5910,339,536,3981,24,12,7.1,446,1929,32,4.3
10,5598,280,479,2969,19,18,5.9,543,2629,20,4.8
4,4573,278,521,2751,9,14,4.9,423,1822,15,4.3
4,5167,297,525,3021,21,19,5.5,417,2146,16,5.1
12,5035,279,484,3020,17,11,5.7,417,2015,23,4.8
10,5161,294,510,3162,17,21,5.8,515,1999,11,3.9
5,4659,283,527,3006,21,16,5.3,421,1653,8,3.9
4,4942,344,616,3383,16,20,5.1,387,1559,6,4
10,5798,310,473,3240,32,21,6.6,507,2558,18,5
9,6294,333,520,3951,32,13,7,493,2343,15,4.8
7,4380,271,515,2617,12,20,4.7,443,1763,13,4
5,4262,319,588,2924,17,24,4.9,376,1338,5,3.6
11,5141,270,460,3050,19,16,6.3,522,2091,9,4
8,5438,314,535,3438,25,8,6,448,2000,11,4.5
7,5453,369,592,3805,27,22,6.2,421,1648,5,3.9
5,4357,230,460,2408,14,21,4.9,435,1949,17,4.5
12,5457,377,600,3961,23,23,6.2,411,1496,19,3.6
10,5627,317,521,3618,27,16,6.4,453,2009,17,4.4
7,5687,299,511,3408,25,15,6.3,499,2279,16,4.6
4,4490,303,534,2959,18,22,5.1,403,1531,5,3.8
14,5722,293,485,3588,29,14,7,524,2134,15,4.1
10,5438,282,438,3050,19,11,6.5,527,2388,15,4.5
9,4691,262,461,2817,21,17,5.6,483,1874,15,3.9
4,4404,309,586,3065,19,26,4.8,384,1339,10,3.5
15,5184,228,358,2720,20,13,6.9,618,2464,16,4
9,4375,258,465,2312,13,11,4.6,491,2063,11,4.2
8,5140,324,536,3301,23,22,5.8,437,1839,14,4.2
4,4481,251,439,2824,21,21,5.9,441,1657,6,3.8
12,6475,353,527,4623,51,10,8.5,427,1852,10,4.3
9,5009,305,513,3159,17,11,5.8,446,1850,9,4.1
7,5128,286,471,3246,16,14,6.2,481,1882,16,3.9
5,5487,356,589,3616,27,19,5.7,420,1871,12,4.5
12,5542,288,450,3357,29,8,7.1,525,2185,24,4.2
10,6332,303,521,3999,27,20,7.5,534,2333,13,4.4
7,6695,370,561,4406,27,17,7.4,496,2289,31,4.6
5,5153,330,582,3858,24,22,6.3,327,1295,10,4
13,5618,336,547,3979,32,11,6.8,376,1639,10,4.4
6,4722,269,475,2818,12,13,5.3,424,1904,18,4.5
6,5197,308,519,3428,19,23,6.2,449,1769,14,3.9
6,4397,288,514,2632,18,17,4.8,471,1765,6,3.7
10,6357,382,598,4449,36,19,7.3,441,1908,9,4.3
8,6339,380,552,4516,39,12,7.6,387,1823,8,4.7
6,4693,285,505,2916,19,13,5.4,407,1777,7,4.4
5,3816,249,471,2192,9,16,4.1,430,1624,10,3.8
11,5084,217,395,2412,15,16,5.4,524,2672,20,5.1
8,5193,309,542,3587,21,16,6.2,406,1606,15,4
7,5225,311,536,3643,29,15,6.4,422,1582,10,3.7
5,4963,340,512,3474,24,18,6.2,393,1489,9,3.8
9,5634,304,532,3539,23,18,6.3,468,2095,17,4.5
8,5877,372,580,4253,23,22,6.8,381,1624,11,4.3
6,4550,299,533,2882,14,18,5,475,1668,15,3.5
2,4585,325,561,3136,16,21,5.1,413,1449,10,3.5
10,5632,352,564,4120,28,15,7,439,1512,16,3.4
9,5198,291,556,3300,22,16,5.7,444,1898,11,4.3
5,4122,269,459,2515,18,16,5,428,1607,6,3.8
4,3970,268,470,2642,11,15,5.1,384,1328,10,3.5
11,5730,362,538,3820,32,14,6.8,459,1910,15,4.2
11,5149,228,379,2926,21,14,7.1,549,2223,21,4
6,4693,335,562,3088,17,21,5.1,452,1605,5,3.6
6,4550,297,497,3047,15,17,5.6,395,1503,4,3.8
14,5799,347,515,4096,31,11,7.7,465,1703,18,3.7
12,5149,283,487,3190,21,6,6.1,502,1959,18,3.9
4,5122,358,594,3597,20,14,5.8,397,1525,8,3.8
2,4053,270,449,2237,15,13,4.3,437,1816,9,4.2
13,5766,279,465,3227,18,7,6.6,542,2539,25,4.7
10,6192,317,507,3810,17,10,7.1,520,2382,26,4.6
9,5567,338,526,3495,27,16,6.3,465,2072,22,4.5
4,4951,316,591,3582,21,14,5.6,361,1369,11,3.8
11,5787,294,558,3578,24,17,6.1,469,2209,17,4.7
10,5289,278,481,3106,25,11,6.1,525,2183,15,4.2
9,5202,300,500,3341,23,17,6.1,521,1861,13,3.6
6,5109,337,620,3677,21,20,5.6,365,1432,11,3.9
11,4101,219,418,2002,11,15,4.5,488,2099,11,4.3
9,4613,323,510,3146,18,16,5.6,381,1467,10,3.9
5,4319,297,520,2848,15,18,5.2,404,1471,10,3.6
4,5118,383,626,3766,20,30,5.8,398,1352,11,3.4
11,4716,303,487,2890,17,14,5.5,457,1826,13,4
11,4950,269,449,3271,25,16,6.9,487,1679,17,3.4
8,5225,247,451,2679,19,13,5.5,531,2546,17,4.8
3,5031,308,553,3343,15,24,5.6,423,1688,8,4
13,5915,307,474,3458,25,10,6.9,519,2457,29,4.7
6,5571,392,599,4036,23,24,6.3,380,1535,13,4
5,5575,419,670,4437,21,21,6.2,360,1138,2,3.2
4,3587,204,389,1898,8,21,4.3,428,1689,9,3.9
12,5369,326,527,3400,25,12,6.1,499,1969,20,3.9
10,4891,313,488,3153,17,16,6,491,1738,15,3.5
7,4271,268,431,2719,19,14,5.7,420,1552,9,3.7
6,4960,342,591,3287,16,19,5.2,402,1673,7,4.2
13,5072,328,524,3435,21,14,6.3,476,1637,11,3.4
8,5462,327,523,3833,28,13,6.9,435,1629,14,3.7
8,5725,312,523,3733,23,23,6.5,469,1992,16,4.2
4,4233,318,512,2898,15,25,5.1,372,1335,7,3.6
12,6070,362,557,4308,31,9,7.5,439,1762,17,4
8,4810,226,447,2596,13,19,5.5,469,2214,15,4.7
8,5423,266,446,2882,17,14,6.1,513,2541,23,5
6,4463,329,481,2778,14,13,5.3,431,1685,13,3.9
14,5840,287,466,3262,24,9,6.6,522,2578,32,4.9
9,5143,272,450,3000,18,12,6.1,513,2143,17,4.2
9,4951,256,454,2799,20,18,5.8,488,2152,12,4.4
2,3939,263,483,2420,7,24,4.4,394,1519,5,3.9
10,6103,323,544,4119,31,9,7.2,416,1984,13,4.8
9,5772,310,506,3836,26,21,7.1,472,1936,21,4.1
8,5214,301,523,3058,24,18,5.6,455,2156,14,4.7
5,5243,274,470,3027,19,10,6.2,490,2216,13,4.5
13,5199,282,514,3281,24,22,6.1,503,1918,14,3.8
8,5458,350,630,3795,18,18,5.8,431,1663,9,3.9
6,4943,332,540,3123,13,20,5.4,442,1820,12,4.1
3,4949,372,596,3820,21,22,5.8,304,1129,9,3.7
10,6264,372,580,4503,27,13,7.5,472,1761,19,3.7
8,4923,325,539,3264,19,17,5.7,423,1659,7,3.9
7,5310,222,416,2371,21,15,5.1,537,2939,9,5.5
4,4321,296,535,2798,14,18,4.9,404,1523,6,3.8
9,4977,292,512,3054,26,22,5.4,484,1923,8,4
8,5767,371,592,3962,24,8,6.2,424,1805,13,4.3
7,4860,257,444,2688,16,16,5.6,438,2172,12,5
5,5000,322,545,3662,17,17,6.3,419,1338,12,3.2
16,6580,403,586,4731,50,9,7.8,451,1849,17,4.1
7,4434,263,445,2634,12,14,5.6,448,1800,8,4
4,4715,310,512,3014,15,19,5.3,446,1701,6,3.8
1,4600,318,558,3031,12,16,5.1,389,1569,14,4
10,5239,282,442,3071,34,14,6.3,511,2168,9,4.2
10,5621,305,545,3726,29,20,6.6,440,1895,13,4.3
7,5568,373,575,4012,26,20,6.8,416,1556,10,3.7
5,4832,341,557,3035,13,14,5.1,446,1797,11,4
13,5739,355,551,4033,32,14,7,446,1706,19,3.8
11,5719,288,469,3328,28,8,6.7,522,2391,18,4.6
10,4987,288,464,2878,9,17,5.8,543,2109,17,3.9
8,5337,346,529,3751,24,21,6.8,417,1586,12,3.8
11,5044,281,471,3005,22,16,6.1,485,2039,19,4.2
7,5541,326,515,3584,21,15,6.6,429,1957,10,4.6
4,4429,335,563,3181,17,20,5.1,383,1248,6,3.3
4,4717,260,451,2631,17,20,5.3,508,2086,11,4.1
13,5851,342,531,4105,36,19,7.4,419,1746,14,4.2
10,5302,302,544,3154,23,20,5.5,469,2148,15,4.6
9,5334,319,525,3463,18,11,6.3,498,1871,15,3.8
8,5729,350,577,3755,24,15,6,421,1974,12,4.7
13,5931,383,578,4334,30,15,7.3,388,1597,13,4.1
8,5379,249,432,2745,12,14,5.8,494,2634,22,5.3
7,5166,368,587,3878,19,22,6,324,1288,13,4
7,4692,327,569,3362,18,21,5.5,423,1330,8,3.1
9,5229,316,490,3357,18,8,6.4,449,1872,15,4.2
7,4559,285,505,2735,19,17,5.1,451,1824,7,4
7,5780,440,652,4314,28,18,6.5,392,1466,14,3.7
4,4813,336,555,3293,18,15,5.5,385,1520,7,3.9
10,5583,371,590,3964,30,13,6.3,430,1619,9,3.8
8,5505,356,590,4065,32,24,6.6,402,1440,9,3.6
5,3797,274,513,2320,15,17,4.1,357,1477,8,4.1
3,4760,333,574,3233,19,28,5.2,404,1527,5,3.8
11,5529,330,491,3632,20,7,7,448,1897,18,4.2
11,5847,339,534,3569,21,11,6.1,513,2278,21,4.4
9,5307,347,529,3303,22,23,5.9,422,2004,20,4.7
7,4882,309,479,3040,14,15,5.9,439,1842,16,4.2
12,4991,303,506,3301,19,15,5.9,460,1690,16,3.7
11,5184,261,433,2808,16,12,6,592,2376,20,4
4,3926,303,513,2406,11,15,4.3,420,1520,6,3.6
4,3985,238,488,2380,11,20,4.6,409,1605,6,3.9
13,5018,265,453,2819,13,9,6.1,508,2199,24,4.3
12,5368,393,585,4094,27,12,6.8,370,1274,13,3.4
8,6113,367,555,4267,21,20,7.3,432,1846,16,4.3
5,5106,335,537,3332,15,13,5.8,426,1774,17,4.2
8,5584,312,478,3858,34,11,7.7,421,1726,13,4.1
8,6333,386,620,4471,25,18,7.1,387,1862,15,4.8
5,4356,222,421,2369,13,11,5.2,459,1987,9,4.3
2,4939,310,541,3129,23,16,5.4,379,1810,9,4.8
12,5695,298,491,3177,23,10,6.1,502,2518,19,5
9,5608,362,606,3911,23,16,6.2,427,1697,15,4
9,5512,328,547,3789,29,20,6.6,401,1723,12,4.3
8,5120,318,510,3025,14,6,5.5,478,2095,12,4.4
10,5288,267,452,2956,22,17,6,519,2332,15,4.5
9,4734,304,528,3061,20,14,5.5,434,1673,15,3.9
6,5618,343,541,3813,28,13,6.6,437,1805,11,4.1
0,4292,281,509,2960,18,19,5.3,352,1332,10,3.8
12,5595,246,414,3158,15,12,7.3,504,2437,30,4.8
11,5779,265,434,3336,16,11,7.4,560,2443,23,4.4
9,5456,355,562,3619,18,13,6.1,451,1837,13,4.1
8,6571,413,636,4977,34,18,7.7,398,1594,20,4
9,5852,418,630,4674,31,15,7.1,340,1178,14,3.5
7,4978,309,509,3379,21,19,6,397,1599,10,4
4,4385,262,474,2617,18,15,5.1,417,1768,10,4.2
2,4596,292,520,2947,11,19,5.2,417,1649,8,4
10,6357,390,592,4436,28,13,7.3,466,1921,19,4.1
9,5136,210,393,2380,12,21,5.6,607,2756,21,4.5
7,5401,331,545,3170,15,19,5.5,509,2231,22,4.4
6,4382,256,441,2515,17,19,5.2,424,1867,6,4.4
10,4946,286,477,2890,21,13,5.7,505,2056,9,4.1
9,5619,321,510,3419,21,13,6.3,468,2200,22,4.7
9,5941,351,536,4148,28,14,7.1,428,1793,10,4.2
5,4163,219,443,2076,11,18,4.4,498,2087,10,4.2
14,5809,402,601,4515,34,19,7.4,366,1294,16,3.5
9,6129,399,593,4654,29,17,7.5,425,1475,13,3.5
8,5623,271,476,3031,16,15,6.2,499,2592,19,5.2
7,5385,315,519,3356,15,10,6,447,2029,19,4.5
13,5761,338,519,4338,29,10,8,427,1423,17,3.3
8,5463,341,558,3627,21,13,6.1,440,1836,9,4.2
5,4258,255,485,2557,10,18,4.8,410,1701,7,4.1
4,4851,296,536,2922,18,17,5,438,1929,8,4.4
11,6390,347,550,4287,26,9,7.3,436,2103,14,4.8
11,5726,335,553,4089,27,13,6.9,384,1637,14,4.3
8,5856,338,542,4019,28,14,7,443,1837,14,4.1
4,5000,340,533,3490,21,16,6,391,1510,8,3.9
12,6074,377,553,4156,34,7,7.1,467,1918,19,4.1
11,6065,357,553,4180,30,8,6.9,438,1885,20,4.3
7,4965,340,563,3473,27,27,5.8,373,1492,6,4
2,4784,316,585,3168,16,32,5,409,1616,9,4
13,6461,378,544,4355,34,12,7.7,468,2106,21,4.5
9,5447,332,570,3571,26,17,6,451,1876,15,4.2
8,5297,264,465,2799,16,20,5.6,525,2498,18,4.8
3,4600,279,524,2973,18,29,5.3,404,1627,5,4
10,5510,392,594,4016,27,18,6.5,365,1494,16,4.1
8,4652,312,528,3052,23,14,5.4,371,1600,12,4.3
5,5069,372,609,3503,20,19,5.4,395,1566,7,4
1,4470,312,543,2686,12,21,4.6,411,1784,4,4.3
14,5820,331,507,3847,37,5,7.2,454,1973,19,4.3
11,5616,288,525,3242,20,14,5.9,534,2374,14,4.4
7,5170,335,557,3527,17,21,5.9,445,1643,8,3.7
4,4878,296,519,3158,24,21,5.7,401,1720,6,4.3
12,5525,298,479,3601,22,9,6.9,471,1924,15,4.1
12,5166,308,491,3335,25,10,6.3,487,1831,11,3.8
5,4635,296,478,2989,13,18,5.8,413,1646,13,4
4,5289,365,590,3767,26,20,6.1,428,1522,8,3.6
10,6092,450,679,4609,33,17,6.6,393,1483,13,3.8
8,5460,291,469,3065,26,21,6,512,2395,14,4.7
6,6186,365,574,4144,24,12,6.8,423,2042,20,4.8
6,4834,273,474,3107,24,15,6.2,406,1727,13,4.3
10,5595,274,475,2968,27,8,5.9,556,2627,13,4.7
9,6329,359,544,4519,30,13,7.8,457,1810,18,4
8,5674,279,491,3180,18,16,5.9,504,2494,19,4.9
4,5582,334,580,4038,25,12,6.5,398,1544,13,3.9
10,6230,348,561,3906,28,13,6.4,428,2324,18,5.4
10,6085,339,539,3885,31,25,7,480,2200,17,4.6
6,5828,379,576,4042,29,19,6.7,428,1786,10,4.2
6,5374,349,605,3913,21,19,6,351,1461,9,4.2
11,4631,276,466,3015,23,21,5.8,414,1616,10,3.9
10,5730,352,541,4124,31,13,7.1,421,1606,11,3.8
6,5423,383,633,3810,26,16,5.8,404,1613,11,4
6,5039,305,505,3097,14,26,5.7,441,1942,16,4.4
13,5458,361,577,3567,28,9,5.9,497,1891,14,3.8
11,5960,450,661,4441,33,22,6.5,380,1519,9,4
10,5362,306,494,3361,26,6,6.4,431,2001,9,4.6
2,4135,256,484,2289,9,21,4.3,428,1846,7,4.3
7,4765,324,544,3341,14,20,5.8,385,1424,13,3.7
7,4846,354,590,3268,18,15,5.2,429,1578,9,3.7
6,5013,282,500,3356,19,15,6.2,401,1657,10,4.1
5,4309,285,561,2921,10,19,4.8,320,1388,9,4.3
13,6848,402,612,5084,39,12,7.9,438,1764,18,4
8,4989,310,547,3297,26,18,5.6,443,1692,14,3.8
6,5078,280,469,3091,20,13,5.9,469,1987,11,4.2
6,5624,356,578,3703,24,25,6.2,391,1921,12,4.9
12,5419,314,544,3423,21,12,5.9,459,1996,15,4.3
12,5957,341,539,4054,21,15,7,434,1903,13,4.4
9,5118,308,535,3340,21,14,6,455,1778,10,3.9
4,4621,320,570,3090,16,13,5.1,415,1531,4,3.7
10,5954,288,467,3506,20,9,7,546,2448,18,4.5
9,5361,353,584,3923,22,14,6.5,376,1438,8,3.8
5,4149,240,469,2179,12,15,4.2,489,1970,9,4
2,4589,302,534,2995,14,14,5.3,382,1594,8,4.2
8,5066,217,429,2434,20,13,5.2,546,2632,11,4.8
8,6290,366,582,4426,27,20,7.2,436,1864,16,4.3
8,6072,315,524,3962,20,23,7.2,466,2110,16,4.5
7,4973,299,500,3080,13,18,5.8,487,1893,5,3.9
9,6161,359,589,4734,29,16,7.7,411,1427,17,3.5
8,6386,330,554,4110,22,25,7,450,2276,20,5.1
8,6008,376,570,4201,33,12,6.9,408,1807,5,4.4
5,5387,346,591,3773,19,24,6,400,1614,8,4
15,6482,376,552,4924,51,8,8.3,395,1558,12,3.9
10,6337,423,666,4814,41,16,6.9,356,1523,9,4.3
8,5026,268,473,3011,18,20,5.8,456,2015,10,4.4
3,5275,286,510,2957,20,17,5.3,448,2318,18,5.2
13,7474,472,662,5347,46,14,7.8,431,2127,16,4.9
10,6026,365,594,4192,29,13,6.8,453,1834,14,4
6,6237,312,519,3829,21,17,6.9,445,2408,26,5.4
4,5108,365,588,3650,17,24,5.9,346,1458,9,4.2
13,4974,277,451,2930,18,5,5.9,498,2044,14,4.1
8,5192,307,550,3567,21,23,5.9,389,1625,12,4.2
7,4861,299,509,3105,15,14,5.6,444,1756,15,4
2,4537,292,549,2870,9,10,4.8,409,1667,7,4.1
12,6846,402,641,4662,34,9,7,523,2184,25,4.2
7,4984,293,504,3182,13,13,5.9,440,1802,15,4.1
6,4787,272,493,2891,14,19,5.4,494,1896,12,3.8
6,5486,309,511,3269,24,17,6,442,2217,12,5
10,5640,334,560,3739,22,11,6.3,444,1901,17,4.3
10,5323,335,540,3578,28,16,6.1,430,1745,11,4.1
8,5324,354,574,3787,27,14,6.2,412,1537,8,3.7
5,5028,328,566,3435,16,18,5.7,396,1593,12,4
12,5953,354,554,3830,22,13,6.6,508,2123,19,4.2
11,5799,339,628,4128,23,18,6.2,440,1671,11,3.8
6,5010,318,540,3323,17,16,5.7,378,1687,10,4.5
2,4788,328,586,3419,20,17,5.4,358,1369,5,3.8
13,6366,402,588,4534,37,11,7.4,481,1832,12,3.8
7,4756,338,528,3295,26,15,5.7,411,1461,4,3.6
4,5504,376,629,4084,24,16,6.2,376,1420,4,3.8
2,5108,273,475,2713,8,20,5.3,500,2395,9,4.8
10,6131,291,442,3422,24,8,7.2,519,2709,22,5.2
9,5687,323,539,3825,26,15,6.8,409,1862,18,4.6
8,5994,434,658,4729,29,19,6.8,355,1265,8,3.6
4,5665,367,618,3791,18,15,5.7,413,1874,10,4.5
11,5751,374,558,4049,40,8,6.6,433,1702,9,3.9
10,5385,300,483,2751,18,12,5.3,486,2634,16,5.4
10,4969,287,485,2999,21,16,5.7,470,1970,11,4.2
4,6540,445,740,4927,22,17,6.4,391,1613,17,4.1
13,5906,422,615,4509,32,14,7,378,1397,12,3.7
7,5771,284,490,3683,19,12,7,462,2088,21,4.5
7,6574,423,671,4997,43,19,7.2,370,1577,10,4.3
7,5820,311,566,3983,27,17,6.7,416,1837,13,4.4
11,5789,289,436,3298,23,8,6.9,492,2491,17,5.1
11,5610,259,405,3031,27,10,6.9,536,2579,16,4.8
7,5264,332,557,3550,22,14,6,410,1714,5,4.2
5,4209,337,608,3005,11,21,4.5,352,1204,10,3.4
12,6152,380,628,4087,25,11,6.1,470,2065,19,4.4
8,5090,266,480,2932,13,22,5.6,493,2158,12,4.4
8,5007,357,594,3567,24,19,5.5,349,1440,8,4.1
6,5410,299,522,3103,16,15,5.4,546,2307,15,4.2
11,5891,364,587,4136,33,20,6.7,481,1755,14,3.6
8,5400,377,586,4017,28,14,6.4,394,1383,9,3.5
8,4918,363,619,3590,19,23,5.4,423,1328,7,3.1
4,5423,379,681,4040,26,20,5.5,348,1383,4,4
11,5468,350,582,3725,23,10,6.1,409,1743,15,4.3
7,5390,328,533,3496,22,16,6.1,462,1894,16,4.1
4,4701,349,592,3441,16,21,5.4,378,1260,7,3.3
2,5556,371,633,3813,19,22,5.6,414,1743,7,4.2
13,7317,461,675,5444,55,10,7.8,461,1873,16,4.1
11,5396,333,546,3340,24,8,5.7,442,2056,17,4.7
9,6293,378,544,4328,32,11,7.5,486,1965,9,4
4,5340,298,519,3340,17,20,5.9,437,2000,16,4.6
10,6676,310,508,4110,32,9,7.4,500,2566,19,5.1
8,5458,375,586,3954,33,12,6.4,336,1504,12,4.5
7,4920,325,567,3588,18,29,5.9,381,1332,11,3.5
3,5915,355,611,3751,20,19,5.7,453,2164,14,4.8
8,6404,366,570,4268,25,16,6.9,459,2136,17,4.7
8,6109,373,579,4281,32,13,7,404,1828,13,4.5
7,6274,371,634,4482,29,19,6.8,445,1792,15,4
5,5508,325,546,3427,18,19,5.8,423,2081,23,4.9
12,5069,292,473,3043,24,13,5.9,483,2026,14,4.2
11,6391,446,651,4918,39,12,7.1,391,1473,10,3.8
4,5490,445,659,4243,26,17,6,321,1247,11,3.9
4,4432,291,514,2820,22,12,5,420,1612,6,3.8
13,5424,267,420,3236,27,9,7,509,2188,14,4.3
12,5180,244,417,2979,21,8,6.5,505,2201,18,4.4
10,5542,363,574,4002,24,22,6.5,422,1540,12,3.6
7,4877,301,506,3125,22,11,5.8,426,1752,10,4.1
12,5848,392,609,4121,34,9,6.5,438,1727,13,3.9
9,5096,363,579,3614,23,13,5.8,402,1482,7,3.7
8,5601,394,595,3729,27,12,5.8,399,1872,12,4.7
4,5226,287,498,2946,16,15,5.4,507,2280,11,4.5
11,6577,411,612,4825,33,10,7.5,423,1752,10,4.1
10,5568,323,503,3421,20,17,6.5,492,2147,19,4.4
10,5838,344,554,3819,27,12,6.7,448,2019,16,4.5
7,5193,274,502,3465,12,16,6.5,477,1728,17,3.6
11,6506,410,661,4894,42,16,7.1,415,1612,9,3.9
9,5513,295,485,3352,22,13,6.6,551,2161,12,3.9
3,4634,325,557,3001,15,18,4.8,360,1633,9,4.5
2,4859,299,513,3412,20,16,6.1,356,1447,6,4.1
12,6446,399,607,4661,40,15,7.5,443,1785,15,4
9,5100,320,493,3182,18,6,5.9,420,1918,18,4.6
9,5465,380,574,4098,31,18,6.7,398,1367,6,3.4
3,4515,365,629,3275,22,16,5,337,1240,4,3.7
12,6138,328,476,3784,37,11,7.5,508,2354,16,4.6
10,6348,384,621,4356,27,21,6.7,474,1992,16,4.2
6,5875,383,607,4272,30,14,6.7,449,1603,13,3.6
